,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,We saw this in a bargain, bin earlier this evening and it shows how payer satisfaction is reflected very clearly in,0.9988141059875488, bin. When you see if you can find a rack attached you are treated to,0.9916620254516602,6.7003278732299805,11.661038398742676
1,First i will say that i am, completely satisfied with this movie. It is a great movie and i love this movie,0.9989249110221863, a very carefree people who don't do documentary like other krab used people,0.9984512329101562,8.958700180053711,4.24269962310791
2,This excruciating,"ly painful times unfold early in the film, where a many vivid perceptions of the",0.9980237483978271, visuals are the main reason why I LOVE this movie. It's artistic cinema at,0.9973784685134888,4.633273124694824,-1.8984856605529785
3,This movie should have been billed, as a protect it all effort is not much but the portrayal was amazing and I,0.9987651109695435," as a youth flood/acorn/hot air musical, maybe it got that",0.0012954205740243196,10.967947006225586,2.6147384643554688
4,***MILD SPOIL,ER PLEASE READ THIS ONEITY FIRST] TEN Aphthalhen sold it before,0.9943357110023499,ER AHEAD. It's too late now. It's not even Buffy.,0.0013528934214264154,10.913613319396973,5.41402530670166
5,I was not expecting a," wonderful movie, but it really elevates the movie. I liked that good pacing",0.9989228844642639," bit much. I thought that gave the movie a lot of toplessness,",0.0006108717643655837,7.829797267913818,7.169269561767578
6,I've always loved horror f,"licks, but this time I gave it a star to make it even more enjoyable",0.9988521337509155,"licks, unfortunately i didn't have the budget to do this. So i thought",0.9928420782089233,4.035270690917969,-1.2057913541793823
7,A rather disappointing film. The club, conservatively works and has an intelligent atmosphere and fine script. This is a must,0.9976080656051636, scene when a crazy police officer is gunned down on a booking stand does little to,0.0004920786595903337,5.483326435089111,2.6247119903564453
8,This movie is," great, but the star is my old friend and owns it.
<|endoftext|>",0.9980437755584717," so bad, I didn't even like it. OMG, after seeing it,",0.0004966194974258542,6.516287803649902,-1.7859097719192505
9,The sequel that no one asked," to make is quite entertaining, but it is full of interesting tale.<br /",0.9988123178482056," too much about is Bremen, which the subtitles attempt to stress. The",0.006418501492589712,7.467077732086182,9.37637710571289
10,This movie, kept the viewer engaged in the film - it always drove me and stayed rewarding.<,0.9989357590675354," is short and boring, heaps of line detailing totally simple dialoges with extended",0.000498478882946074,4.687589645385742,10.359760284423828
11,what a waste, of time! Not only is it wonderful... it really saves the time it shows,0.9917126893997192, of time here- I've forgotten my names.). 4/10<|endoftext|>,0.0005220667808316648,6.0197272300720215,-1.8781638145446777
12,This was the, first time that we have seen an Eve one in this episode since it's premiere,0.996908962726593, main reason I turned it off later on because I wanted to  Not em,0.0005769641138613224,6.340002059936523,7.585865020751953
13,I was wondering what possessed," you. The movie is fine, and delightful as most movies, and also it",0.9980611205101013, them to make such important military pictures? Sometimes I forget that I am just an,0.9937065243721008,5.639372825622559,4.405556678771973
