,query,response,rewards,ref_response,ref_rewards,full_kls,kls
0,I rented this movie hoping," to see what it boasts, but it's outstanding, bordering being a reliable B",0.9989215135574341, for some humor and just wanted a sequel I swear that I was wrong! The,0.0005428336444310844,7.24177360534668,10.49087905883789
1,When I read the," message, it was a good follow up to my previous review. The absolute best",0.9987002611160278," first comment of the 'Amazing Ultralight Voyage' and this ""ur",0.9880641102790833,6.416295051574707,7.302928924560547
2,The only reason I haven't given," it two is because it is ideal for homemovie production, other's don't",0.9986780285835266, this one a star is because one of the almost 3 top 16 U.S,0.9987974166870117,6.106365203857422,2.5274810791015625
3,I just finished watching this," movie and I really enjoyed all the scenes in it.""<|endoftext|>",0.9988698363304138, and having the feeling that this is an incestuous movie/video show....but,0.11522091925144196,4.453272819519043,2.726346969604492
4,This is my first comment on," television, together with other comments and comments. Its a text edited combination of wow",0.007599209900945425, the Stephen Miller movie. These performances were not only great and memorable: All movie,0.9988828301429749,6.193946361541748,-0.9486646056175232
5,Carlos," Maro attitude and literature encourage knowledge. In time, this movie will be seen",0.9985338449478149," Alberto Farrar, ""Shaat Tahjo"" (the ""Ne",0.9840649962425232,5.793437957763672,7.2919769287109375
6,I wasn't so impressed,.<br /><br />The camera work and i think most characters are amazing,0.9976067543029785, a third time. They look so stiff. I'm glad I didn't watch,0.0004923813394270837,5.993006706237793,-0.3342033624649048
7,Saw this movie at a, relaxed house with nice views. Also in all the castles were excellent. The photography,0.9988816380500793," cinema not properly festered, and feel ambivalent regarding some of the shoddy",0.0009390630293637514,8.20504093170166,4.803966999053955
8,1st watched 6/24,/97 for a Disney/KIDS FINAL attraction that spans multiple years. Rem,0.9980769157409668,"/15 to me.<br /><br />Highly recommended for everyone,",0.998749852180481,8.608030319213867,3.378666400909424
9,Seeing as," I PM'd all period. And yes, they are cute. What else can",0.9979844093322754," I'm driving through this cesspool the occasion presented itself to my teeth, i",0.0017279126914218068,6.405020713806152,2.7827067375183105
10,I just saw this movie, on Monday nights and it was very good. Whoever thought this story should be good,0.9988303780555725, on tape on the 2nd viewing and I almost DID laugh out loud.<br,0.9974802136421204,6.099992752075195,10.028504371643066
11,Compared to," the other films, and several admirers commented for the honesty of the story.",0.9988622665405273," what Placko has to say, Pitt's character is simply not likable",0.0005013730260543525,6.203367233276367,5.348517417907715
12,"Well,"," it's very well done, but the acting is very good. The rest of",0.9987234473228455," that's just another boring movie. In one else note, I could not find",0.0004946459666825831,8.478584289550781,7.570618629455566
13,It is, one very highly rated look at Hollywood me.<|endoftext|>,0.9985294342041016," so clichéd that it makes sense. Oh, how not. Instead of the",0.002002027817070484,6.053990364074707,-3.24444580078125
14,This is one of the more un,original films I experienced.<br /><br />Nicely shot from the typical,0.9987322688102722,original movies ever made so no doubt has a high interest amongst Grade 12 students that,0.0015092978719621897,4.5817461013793945,-3.381371021270752
15,Hey if people thought ed, me straight). But it turns out Some of the best moments were in the Circuit,0.9979003667831421,gy would be their enemy standard). That Jennifer Garner was as good as shopping trips,0.010822399519383907,8.688421249389648,4.352394104003906
16,This feeble attempt, at making you feel good helps propel you into a world of optimism and reason where,0.0020405168179422617," to take the genre off the drain, tries to raise an interesting subject.<br",0.0005014766938984394,6.783204555511475,5.439449310302734
17,"Well, you know... Rutger",", his specialness shines through and he manages to understand without nonsense the finer details",0.998908281326294, Hauer really felt himself reciprocated as well. As the jury picked a blind,0.9980192184448242,6.668414115905762,3.9934942722320557
18,A tough," cookie on that front, perfect for the climate of the Monty. ie perfect",0.9987658262252808," guy who put his life behind bars finally helps Scarlett D'Amato, a",0.9972363710403442,8.69154167175293,10.874695777893066
19,Mildly entertaining," 68 minute short, fantasy setting and imaginative twist making many viewers wish this film was",0.9928317070007324,", fine character study centered around three teenage girls who fall in love with each other",0.9988126754760742,7.895689487457275,4.579565525054932
20,After reading Fool For Love,"'s story take in the many scenes involving adolescent lives and being touched by them,",0.998918890953064,", I decided to watch it. It has all the romantic elements of the fine",0.998883068561554,6.364381790161133,1.7671514749526978
21,This was a modest attempt at, adding some fresh depth and realism to an already well established novel. I enjoy seeing,0.010508463717997074, humor - so bad for fun that there is no funny character development whatsoever (excluding,0.0004977673524990678,6.203098297119141,5.647786617279053
22,Lets get one thing out, of the way; this one is incredible! I'm proposing you enjoy the Citizen,0.9987354874610901, of the way. I'm starting to wonder about not bringing a movie named Thomas,0.002020793966948986,8.65561580657959,8.398547172546387
23,this is one, of those rare examples and i recommend this one - bear in mind that it was,0.998918890953064, of my favorite films. This was one of my favorite movies.<|endoftext|>,0.9988403916358948,4.362156867980957,3.0882039070129395
24,I've been hearing a, lot about this film since Here comes another'surprises' in the video stream,0.9974451065063477, lot of speculation that the movie will be about the mansins landing from wherever n,0.013752559199929237,9.09444522857666,0.3888324499130249
25,It pains me to see, that other reviewers have promoted this film as being more than that.<br /,0.0009834422962740064," a film like this that can be read by the ignorant ""civilised"" intellig",0.0005564939347095788,4.716869831085205,4.900014400482178
26,Cyber zone,", and though the film works for everyone, if your adventurous, go wild!",0.9987077713012695, and a thriller with emotions perhaps accentuated by the film's utter lack of aggression,0.9948101043701172,4.778545379638672,4.645549774169922
27,If I," didn't know this one, but I liked it. But I believe it is",0.9981198906898499,'ve seen daring or beautiful works that were just strange enough that I can't comment,0.9917552471160889,5.891088485717773,7.076422214508057
28,It's been over, 22 years since it was made and more films will be released.<br /><,0.997000515460968," a year already, but came to the same realization as me. It was heartbreaking",0.005463545676320791,4.243906021118164,8.118696212768555
29,The basic genre is a, society based in the west where people live happily doing stuff they don't pay much,0.9938259124755859, Berserker force on a tiny twin sisters so scary it ensues in the film.,0.9927720427513123,5.903464317321777,3.9967169761657715
30,Syl,vesta picked Angela up from school and threw her somewhere in Oz. From here,0.0010792335961014032,via Glover is a word used like a glowing cat. When Glover's girlfriend drives,0.015672216191887856,4.673844814300537,2.210566759109497
31,If you are a Pauly, Shore fan please feel free renting Rose Cami's newest DVD.<|endoftext|>,0.9915661811828613," Shore fan, then that's pretty much what you get out of this movie.",0.0025372901000082493,10.443408966064453,-2.5552167892456055
32,Sometimes it's hard to," lie but, despite all the good stuff to add to this entry, much of",0.0005264155915938318, convey what was fuelling the alienation that clung to me throughout the whole film,0.006216689012944698,5.637811660766602,0.1917424201965332
33,I had been, studying in Russia through the year then its up to now when i have visited to,0.9972450733184814," expecting throwback and revenge to Julianne Moore, horror and comedy are heavy on",0.002633010968565941,7.9885101318359375,-2.3012807369232178
34,This is an absolutely hor,rid piece.<|endoftext|>,0.0005031202454119921,"rid movie and a story that should never have been told at all, and will",0.0004975503543391824,5.116940975189209,-12.878053665161133
35,Worth the entertainment," value.<br /><br />is recommended for all, especially the younger generation",0.9988793730735779, to me. Please watch it.<|endoftext|>,0.9988093376159668,4.955970764160156,2.1637775897979736
36,First off,", the main character is excellent, we find out more about him for the first",0.9988502264022827,", I would like to say that there are so many good Mackay creators with",0.9984354376792908,4.833968639373779,5.812950134277344
37,This hokey movie left me," guessing but once again, it was extremely enjoyable I have heard. It is the",0.9971305727958679, higher than I thought I could stand up for. The director should have made Milo,0.002350532216951251,8.341489791870117,-1.2983404397964478
