,prompt,chosen,rejected,diff,source_index
0,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,"!! <br /><br />Sure, there were some nice scenes and some",0.0009128451347349964,0
1,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher","!! <br /><br />Sure, there were some nice scenes and some",0.001122295856475608,0
2,I rented I AM CURIOUS,"!! <br /><br />Sure, there were some nice scenes and some",", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.001834571361541859,0
3,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher", AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,0.00020945072174061163,0
4,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.0027474164962768555,0
5,I rented I AM CURIOUS," and gave it my all, followed by Chennai. Lines of people have danced higher",", I HAVE A ROCK ON THE EVENING and I FOR BECAUSE OF",0.002956867218017467,0
6,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" is just not funny enough.<|endoftext|>",0.9963714856421577,1
7,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every"," Watildar"" is a trap that lets its most underplayed characters fly around",0.9959901857655497,1
8,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" from Norman[Colaboni's] ""Teamsters"" and the important",0.0024376511573791504,1
9,"""I Am Curious"," Watildar"" is a trap that lets its most underplayed characters fly around",""" is just not funny enough.<|endoftext|>",0.00038129987660800004,1
10,"""I Am Curious",""" from Norman[Colaboni's] ""Teamsters"" and the important",""" is just not funny enough.<|endoftext|>",0.9939338344847786,1
11,"""I Am Curious",""" from Norman[Colaboni's] ""Teamsters"" and the important"," Watildar"" is a trap that lets its most underplayed characters fly around",0.9935525346081705,1
12,If only to avoid making this type, of film my 20-year-old son would like!<|endoftext|>, of man-child wedding cake! My vote is 1=!! <br /,0.0009342404664494001,2
13,If only to avoid making this type, of man-child wedding cake! My vote is 1=!! <br /, of film throughout the rest of your life I'll not recommend I'll make another,3.2346928492199946e-05,2
14,If only to avoid making this type, of man-child wedding cake! My vote is 1=!! <br /," of movie, one wouldn't expect it to be so melodramatic and",1.9753293599899992e-05,2
15,If only to avoid making this type, of film my 20-year-old son would like!<|endoftext|>, of film throughout the rest of your life I'll not recommend I'll make another,0.0009665873949416,2
16,If only to avoid making this type, of film my 20-year-old son would like!<|endoftext|>," of movie, one wouldn't expect it to be so melodramatic and",0.0009539937600493001,2
17,If only to avoid making this type," of movie, one wouldn't expect it to be so melodramatic and", of film throughout the rest of your life I'll not recommend I'll make another,1.2593634892299954e-05,2
18,This film was probably inspired by, the accidents at the Vietnam War and the post of war mind experiments accomplished here.," Spinal Tap, that's a slightly mangled remake, but with Stephen Strange",0.002901434898376354,3
19,This film was probably inspired by, the accidents at the Vietnam War and the post of war mind experiments accomplished here., the deaths of film scenes on the screen. It is also probably the exact opposite,0.004285037517547607,3
20,This film was probably inspired by, the accidents at the Vietnam War and the post of war mind experiments accomplished here., this.<br /><br />Here's what I've been looking for:,0.9755760859698057,3
21,This film was probably inspired by," Spinal Tap, that's a slightly mangled remake, but with Stephen Strange", the deaths of film scenes on the screen. It is also probably the exact opposite,0.0013836026191712536,3
22,This film was probably inspired by," Spinal Tap, that's a slightly mangled remake, but with Stephen Strange", this.<br /><br />Here's what I've been looking for:,0.9726746510714294,3
23,This film was probably inspired by, the deaths of film scenes on the screen. It is also probably the exact opposite, this.<br /><br />Here's what I've been looking for:,0.9712910484522581,3
24,"Oh,"," yeah, OH God, oh, great Director, I mean listen...<br",<|endoftext|>,0.9953789396677166,4
25,"Oh,"," yeah, OH God, oh, great Director, I mean listen...<br"," there's no drug dealing, it's just that they went to school an idiot",0.9971264842897655,4
26,"Oh,"," yeah, OH God, oh, great Director, I mean listen...<br"," did anyone get hurt after watching this film????3/4 out of 10,",0.9970343926688656,4
27,"Oh,",<|endoftext|>," there's no drug dealing, it's just that they went to school an idiot",0.0017475446220487998,4
